"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-02,7108,monthly,510351,2017-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-02,8018,monthly,140482,2017-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-02,5946,monthly,141864,2017-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-03,6958,monthly,168470,2017-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-03,74386,monthly,218812,2017-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-03,8659,monthly,508986,2017-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-03,10049,monthly,139230,2017-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-03,7324,monthly,140865,2017-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-04,5864,monthly,171346,2017-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-04,62318,monthly,221891,2017-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-04,7120,monthly,513641,2017-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-04,8078,monthly,141652,2017-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-04,6251,monthly,144242,2017-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-05,6544,monthly,172332,2017-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-05,69176,monthly,223502,2017-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-05,7874,monthly,514831,2017-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-05,9525,monthly,142498,2017-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-05,6928,monthly,145465,2017-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-06,8030,monthly,173524,2017-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-06,84327,monthly,225265,2017-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-06,9192,monthly,514028,2017-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-06,11140,monthly,144298,2017-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-06,8581,monthly,146646,2017-06-01
